28,11460018,K00769.01,Kepler-671 b,CANDIDATE,1,0,0,0,4.280963604,0.000006141,-0.000006141,171.89659,0.00115,-0.00115,0.424,0.112,-0.356,2.875,0.042,-0.042,750.8,14.1,-14.1,2.3,0.58,-0.19,247.87,182.24,-63.32,61.8,1,q1_q17_dr25_tce
29,11463211,K00770.01,,FALSE POSITIVE,0,0,0,1,1.50635409,0.00000047,-0.00000047,170.998064,0.000246,-0.000246,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,1.01,-0.44,1054.12,703.1,-292.26,181.1,1,q1_q17_dr25_tce
30,11465813,K00771.01,,FALSE POSITIVE,0,0,1,1,670.645531,0.001237,-0.001237,209.04355,0.00157,-0.00157,0.701,0.004,-0.005,53.412,0.131,-0.131,18091,33.5,-33.5,14.14,2.13,-0.71,0.35,0.15,-0.06,642.7,1,q1_q17_dr25_tce
31,11493732,K00772.01,,FALSE POSITIVE,0,0,1,0,61.2563628,0.000156,-0.000156,173.83826,0.00209,-0.00209,1.248,6.912,-0.067,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,15.43,14.85,-5.51,85.3,1,q1_q17_dr25_tce
32,11507101,K00773.01,Kepler-672 b,CANDIDATE,1,0,0,0,38.3775486,0.0001602,-0.0001602,172.82048,0.00338,-0.00338,0.468,0.461,-0.267,5.588,0.113,-0.113,724.2,23.4,-23.4,2.82,0.37,-0.34,18.53,6.72,-4.93,34.7,1,q1_q17_dr25_tce
33,10910878,K00757.02,Kepler-229 d,CANDIDATE,0.992,0,0,0,41.19725502,0.00009345,-0.00009345,165.00404,0.00171,-0.00171,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2213.9,45.5,-45.5,3.86,0.15,-0.33,8.76,1.27,-1.9,51.2,2,q1_q17_dr25_tce
34,10910878,K00757.03,Kepler-229 b,CANDIDATE,1,0,0,0,6.252962249,0.000009577,-0.000009577,171.30126,0.00117,-0.00117,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,2.65,0.1,-0.23,108.3,15.73,-23.44,47.1,3,q1_q17_dr25_tce
35,10987985,K00758.01,Kepler-665 b,CANDIDATE,1,0,0,0,16.01308419,0.00004854,-0.00004854,176.3608,0.00243,-0.00243,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1121.9,39.4,-39.4,3.1,0.34,-0.31,29.31,11.77,-8.24,33.2,1,q1_q17_dr25_tce
36,11018648,K00759.01,Kepler-230 b,CANDIDATE,1,0,0,0,32.62876672,0.00005801,-0.00005801,194.1019,0.00138,-0.00138,0.021,0.402,-0.021,4.7971,0.058,-0.058,1804.8,25.4,-25.4,3.36,0.76,-0.33,15.55,10.51,-4.18,80,1,q1_q17_dr25_tce
37,11018648,K00759.02,Kepler-230 c,CANDIDATE,0.978,0,0,0,91.7732862,0.0007518,-0.0007518,193.8378,0.00643,-0.00643,0.606,0.335,-0.4,6.473,0.204,-0.204,652,36.2,-36.2,2.12,0.48,-0.21,3.92,2.64,-1.06,19.1,2,q1_q17_dr25_tce
